1476,3/13/23 15:43,Oxide3phase,90,0.7736,0.7734,< LOD,0.126,2.5675,0.1129,0.0155,0.0128,0.0476,0.0095,< LOD,0.0165,0.6852,0.0112,,,2.2463,0.0178,0.184,0.0054,< LOD,0.0056,0.0055,0.0022,0.1501,0.0061,2.3136,0.0156,< LOD,0.0026,0.0034,0.0006,0.0008,0.0005,0.0834,0.0014,0.0006,0.0004,0.0004,0.0002,< LOD,0.0001,0.0027,0.0002,0.0344,0.001,0.0018,0.0004,< LOD,0.0014,0.0005,0.0004,< LOD,0.0012,< LOD,0.0007,< LOD,0.0011,< LOD,0.0008,< LOD,0.0006,< LOD,0.0015,< LOD,0.0018,< LOD,0,0.0225,0.006,< LOD,0.0051,< LOD,0.0083,< LOD,0.0007,< LOD,0.0043,< LOD,0.0023,< LOD,0.0007,,,< LOD,0.0004,< LOD,0.0003,0.0017,0.0004,< LOD,0.0004,< LOD,0.0005,< LOD,0.0014,2,Passed,,,
1477,3/13/23 15:45,Oxide3phase,90,1.0038,0.7542,< LOD,0.135,5.4194,0.1507,< LOD,0.0107,< LOD,0.0077,< LOD,0.0162,0.9527,0.0128,,,1.1372,0.0135,0.1036,0.0057,< LOD,0.006,0.0091,0.0025,0.0888,0.0048,2.9241,0.0171,< LOD,0.0029,0.0028,0.0006,0.0015,0.0004,0.0116,0.0006,0.0009,0.0004,< LOD,0.0003,< LOD,0.0001,0.0052,0.0003,0.0605,0.0013,0.003,0.0005,< LOD,0.0019,0.0006,0.0004,0.0013,0.0012,< LOD,0.0008,< LOD,0.0012,< LOD,0.0009,0.0007,0.0006,< LOD,0.0018,< LOD,0.0023,< LOD,0,0.108,0.0091,0.0098,0.0072,< LOD,0.011,< LOD,0.0007,< LOD,0.0042,< LOD,0.0016,< LOD,0.0009,,,< LOD,0.0005,< LOD,0.0004,0.0031,0.0006,< LOD,0.0005,< LOD,0.0006,< LOD,0.0016,2,Passed,,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,,,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,,,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,aaa,,
1478,3/13/23 15:49,Oxide3phase,90,1.0606,0.7756,< LOD,0.1329,3.1796,0.1246,0.0273,0.0124,0.0335,0.0089,< LOD,0.0162,1.0217,0.0131,,,1.8395,0.0166,0.1052,0.0053,< LOD,0.0055,0.0117,0.0025,0.067,0.0043,2.5008,0.016,< LOD,0.0027,0.0028,0.0006,0.002,0.0004,0.0162,0.0007,0.0007,0.0004,0.0004,0.0003,< LOD,0.0001,0.0049,0.0003,0.057,0.0012,0.002,0.0005,< LOD,0.0015,< LOD,0.0004,< LOD,0.0011,< LOD,0.0007,< LOD,0.0012,,,0.0008,0.0006,< LOD,0.0017,< LOD,0.0021,< LOD,0,0.0692,0.0078,< LOD,0.0063,0.0134,0.01,< LOD,0.0006,< LOD,0.0041,< LOD,0.0017,< LOD,0.0007,,,< LOD,0.0005,< LOD,0.0004,0.0028,0.0006,< LOD,0.0005,< LOD,0.0006,< LOD,0.0017,2,Passed,aaa,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,,,
1479,3/13/23 15:51,Oxide3phase,90,< LOD,0.7693,< LOD,0.1299,2.9033,0.1193,< LOD,0.0121,0.0284,0.0088,< LOD,0.0164,0.8402,0.0121,,,1.7692,0.0162,0.1183,0.0052,< LOD,0.0058,0.0092,0.0024,0.0769,0.0046,2.5541,0.0162,< LOD,0.0027,0.0032,0.0007,0.0024,0.0005,0.0293,0.0009,0.0008,0.0004,0.0005,0.0004,< LOD,0.0001,0.0041,0.0003,0.0474,0.0011,0.0024,0.0005,< LOD,0.0015,0.0007,0.0004,< LOD,0.0011,< LOD,0.0007,< LOD,0.0012,< LOD,0.0008,< LOD,0.0006,< LOD,0.0017,< LOD,0.002,< LOD,0,0.0478,0.0074,< LOD,0.0059,< LOD,0.0098,< LOD,0.0007,< LOD,0.0041,< LOD,0.0019,< LOD,0.0008,< LOD,0.0009,< LOD,0.0004,< LOD,0.0004,0.0074,0.0008,< LOD,0.0005,< LOD,0.0007,< LOD,0.0014,2,Passed,,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,,,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,aaa,,
1480,3/13/23 15:55,Oxide3phase,90,< LOD,0.816,< LOD,0.1519,4.7427,0.1476,< LOD,0.0124,< LOD,0.008,< LOD,0.0162,1.1348,0.0141,,,1.7971,0.0164,0.225,0.0065,< LOD,0.007,0.0157,0.0032,0.0998,0.0054,4.6285,0.0219,< LOD,0.0036,0.0027,0.0007,0.004,0.0005,0.0094,0.0006,0.0009,0.0004,< LOD,0.0005,< LOD,0.0001,0.0054,0.0003,0.0665,0.0014,0.004,0.0005,0.0395,0.0021,0.0009,0.0004,< LOD,0.0011,< LOD,0.0007,< LOD,0.0012,< LOD,0.0009,< LOD,0.0007,< LOD,0.002,< LOD,0.0024,< LOD,0,0.1473,0.0105,< LOD,0.0086,0.0154,0.0135,< LOD,0.0007,< LOD,0.0048,< LOD,0.0017,< LOD,0.0009,,,< LOD,0.0005,< LOD,0.0005,0.0093,0.0009,< LOD,0.0006,< LOD,0.0007,< LOD,0.0015,2,Passed,aaa,,
1481,3/13/23 15:57,Oxide3phase,90,< LOD,0.7686,< LOD,0.1384,3.6859,0.1318,0.0265,0.0122,< LOD,0.0081,< LOD,0.0163,0.9937,0.0131,,,1.666,0.0159,0.1659,0.0059,< LOD,0.0065,0.0035,0.0026,0.093,0.005,3.385,0.0186,< LOD,0.0031,0.0026,0.0006,0.0035,0.0005,0.0131,0.0006,0.0008,0.0004,0.0008,0.0004,< LOD,0.0001,0.0052,0.0003,0.0663,0.0013,0.0027,0.0005,< LOD,0.0015,0.0007,0.0004,< LOD,0.0011,< LOD,0.0007,< LOD,0.0012,< LOD,0.0009,< LOD,0.0007,< LOD,0.0019,< LOD,0.0022,< LOD,0,0.0908,0.009,< LOD,0.007,0.0151,0.0114,< LOD,0.0007,< LOD,0.0044,< LOD,0.0017,< LOD,0.0009,,,< LOD,0.0005,< LOD,0.0004,0.0059,0.0008,< LOD,0.0006,< LOD,0.0007,< LOD,0.0016,2,Passed,aaa,,
File #,DateTime,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,,,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,,,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Multiplier,Cal Check,,,
