name,x,y,Cr (ppm),Mn (ppm),Fe (ppm),Ni (ppm),Cu (ppm),Zn (ppm),As (ppm),Pb (ppm)
AM 212.4 soil,-60.38419638,53.29231414,33,684,27118,18,11,26,5,14
AM 212.5 soil,-60.38408004,53.29223659,47,572,21708,21,12,28,< LOD,11
AM 212.6 soil,-60.38396169,53.29228308,40,753,24038,21,4,33,< LOD,19
AM 220.1 soil,-60.38848908,53.29057286,< LOD,5406,7008,22,21,211,< LOD,13
AM 220.2 soil,-60.38850736,53.29060866,< LOD,1463,12453,26,21,99,< LOD,16
AM 220.3 soil,-60.38853049,53.29065295,40,905,18900,21,20,84,5,23
AM 220.4 soil,-60.38840644,53.29058,< LOD,733,20284,22,14,54,< LOD,21
AM 220.5 soil,-60.38834006,53.29059283,28,2052,14702,24,< LOD,80,7,16
AM 220.6 soil,-60.38847081,53.29051967,< LOD,795,27489,22,11,30,4,12
AM 220.7 soil,-60.38844969,53.29047178,< LOD,4740,16828,25,27,99,4,27
AM 220.8 soil,-60.38859185,53.29054473,< LOD,1155,2817,23,28,251,0,0
AM 220.9 soil,-60.38867667,53.29055535,22,711,17550,26,8,86,< LOD,10
FhCb13 10.1 soil,-60.32504696,53.29218508,< LOD,3408,29738,29,18,50,6,24
FhCb13 10.2 soil,-60.32498695,53.2922037,60,809,26626,28,19,32,< LOD,14
FhCb13 10.3 soil,-60.32490347,53.29222316,57,1196,27405,29,22,36,7,17
FhCb13 10.4 soil,-60.32505669,53.29215021,75,1673,29818,27,22,39,3,16
FhCb13 10.5 soil,-60.32503815,53.29210516,90,834,39422,37,15,39,6,22
FhCb13 10.6 soil,-60.32514319,53.29217987,50,2933,28528,32,20,65,13,82
FhCb13 10.7 soil,-60.32522969,53.29216985,55,2269,24281,41,15,61,< LOD,25
FhCb13 10.8 soil,-60.32512106,53.29225743,50,1481,28693,31,6,35,< LOD,24
FhCb13 10.9 soil,-60.32511268,53.2922941,47,1544,30688,33,20,54,< LOD,19
FhCb13 15.1 soil,-60.32539533,53.29214431,49,2362,27835,20,14,52,3,29
FhCb13 15.3 soil,-60.32543454,53.29217807,32,1228,60639,40,27,55,15,65
FhCb13 15.4 soil,-60.3254617,53.29222857,28,2752,20640,33,31,88,3,39
FhCb13 15.5 soil,-60.32533664,53.29213799,75,1107,28613,21,16,37,4,19
FhCb13 15.6 soil,-60.32524679,53.292146,41,2815,22131,41,23,84,< LOD,26
FhCb13 15.7 soil,-60.32538559,53.29207205,29,1323,22180,35,17,105,< LOD,14
FhCb13 15.8 soil,-60.32534828,53.29202162,< LOD,4153,23770,38,24,57,7,25
FhCb13 15.9 soil,-60.32548725,53.29210016,76,1444,28308,30,15,61,3,23
FhCb13 15.10 soil,-60.32552091,53.29205214,99,871,27589,33,19,46,7,30
FhCb13 213.1 soil,-60.32564208,53.29183637,< LOD,3460,17605,31,20,108,8,33
FhCb13 213.2 soil,-60.32557167,53.2918476,< LOD,2483,12593,32,60,93,< LOD,11
FhCb13 213.3 soil,-60.32550864,53.29186463,< LOD,1770,8952,27,24,92,< LOD,5
FhCb13 213.4 soil,-60.32563437,53.29179409,44,1447,15291,28,54,86,4,6
FhCb13 213.5 soil,-60.32561325,53.29175421,28,909,28846,38,26,41,< LOD,11
FhCb13 213.6 soil,-60.32572556,53.29180291,40,784,20228,26,21,48,6,17
FhCb13 213.7 soil,-60.32579765,53.29178968,< LOD,483,15810,30,18,45,< LOD,17
FhCb13 213.8 soil,-60.32567862,53.29188347,47,1165,20023,25,17,72,5,12
FhCb13 213.9 soil,-60.32569841,53.29192976,< LOD,2521,20109,23,17,61,7,17
FhCb13 214.1 soil,-60.32581139,53.29231975,84,1630,29374,22,13,43,3,17
FhCb13 214.2 soil,-60.32590091,53.29231635,< LOD,716,29321,25,8,38,< LOD,21
FhCb13 214.3 soil,-60.32596059,53.29231034,< LOD,820,22286,30,9,42,4,16
FhCb13 214.4 soil,-60.32584995,53.29237046,< LOD,1113,21700,31,17,51,6,22
FhCb13 214.5 soil,-60.32587308,53.29242657,< LOD,698,21785,23,< LOD,32,< LOD,21
FhCb13 214.6 soil,-60.32574568,53.29233919,38,1159,20472,21,12,39,3,26
FhCb13 214.7 soil,-60.32569572,53.29236905,40,1085,20846,32,16,51,5,24
FhCb13 214.8 soil,-60.32580636,53.29228589,< LOD,1812,12554,43,< LOD,81,3,23
FhCb13 214.9 soil,-60.32579396,53.29224721,< LOD,958,22963,31,14,38,4,17
FhCb13 215.1 soil,-60.32611683,53.2924422,< LOD,4890,17521,28,19,119,5,31
FhCb13 215.2 soil,-60.32608464,53.29239631,< LOD,1150,26615,36,9,39,4,15
